column_name,description,pct_missing,n_unique,data_type
date,Month of the record (YYYY-MM-DD format),0.0,47,String
id_gbase,Internal site identifier (primary key in monthly data),0.0,57675,String
month,Month,0.0,12,Int64
year,Year,0.0,4,Int64
monthly_impressions,Monthly advertising impressions delivered,9.16,34131,Int64
monthly_nvis,Monthly network video impressions,10.43,31797,Int64
avg_daily_impressions,Avg Daily Impressions,9.16,1767,Int64
avg_daily_nvis,Avg Daily Nvis,10.43,1728,Int64
avg_latency,Avg Latency,81.69,228550,String
screen_count,Number of media screens at the site,0.23,39,Int64
revenue,Monthly gross revenue from advertising,0.0,147964,Float64
site_activated_date,Date the site was first activated,0.35,3758,String
network,"Hardware network provider (Gilbarco, Wayne, Dover, etc)",0.0,4,String
state,US state where the site is located,0.0,51,String
gtvid,Public-facing site identifier (GSTV ID),0.0,57675,String
county,US county where the site is located,0.0,1742,String
latitude,Site latitude coordinate,0.0,57643,Float64
longitude,Site longitude coordinate,0.0,57503,Float64
zip,5-digit ZIP code of the site,0.0,16365,Int64
zip_4,ZIP+4 extended postal code,0.0,44237,String
dma,Designated Market Area name,0.0,209,String
dma_rank,DMA ranking by TV household count (1=largest),0.0,209,Int64
statuis,Site operational status (typo in source: Active/Inactive/etc),0.0,7,String
program,GSTV program type the site belongs to,0.0,15,String
experience_type,Type of media experience at the site,0.0,3,String
hardware_type,Physical hardware model installed,0.11,18,String
retailer,Fuel retailer brand operating the site,0.0,22275,String
avg_household_income,Average household income in the ZIP code,0.15,14701,Int64
median_age,Median age of population in the ZIP code,0.14,446,Float64
index_african_american,Index African American,0.46,9451,Float64
pct_african_american,Percent African American population in ZIP,0.65,4010,Float64
index_asian,Index Asian,0.99,8014,Float64
pct_asian,Percent Asian population in ZIP,1.17,1890,Float64
index_female,Index Female,0.14,15965,Float64
pct_female,Percent female population in ZIP,0.14,15965,Float64
index_male,Index Male,0.14,15966,Float64
pct_male,Percent male population in ZIP,0.14,15966,Float64
index_hispanic,Index Hispanic,0.31,9310,Float64
pct_hispanic,Percent Hispanic population in ZIP,0.39,4098,Float64
schedule_site,Whether the site supports scheduled content,0.0,2,Boolean
sellable_site,Whether the site is available for ad sales,0.0,2,Boolean
gstv_fixed_fee_pct,Gstv Fixed Fee Pct,100.0,1,String
gstv_fixed_fee_amt,Gstv Fixed Fee Amt,0.0,1,Int64
ptd_fixed_fee_met,Ptd Fixed Fee Met,0.0,1,Boolean
retailer_fixed_fee_pct,Retailer Fixed Fee Pct,100.0,1,String
retailer_fixed_fee_amt,Retailer Fixed Fee Amt,0.0,1,Int64
sellable_direct_plan,Sellable Direct Plan,0.0,2,Boolean
sellable_direct_revision,Sellable Direct Revision,0.0,2,Boolean
sellable_programmatic_plan,Sellable Programmatic Plan,0.0,2,Boolean
sellable_programmatic_revision,Sellable Programmatic Revision,0.0,2,Boolean
r_lottery,Advertising restriction: Lottery,0.0,2,Boolean
r_government,Advertising restriction: Government,0.0,2,Boolean
r_travel_and_tourism,Advertising restriction: Travel And Tourism,0.0,2,Boolean
r_retail_car_wash,Advertising restriction: Retail Car Wash,0.0,2,Boolean
r_cpg_beverage_beer_oof,Advertising restriction: Cpg Beverage Beer Oof,0.0,2,Boolean
r_cpg_beverage_beer_vide,Advertising restriction: Cpg Beverage Beer Vide,0.0,2,Boolean
r_cpg_beverage_wine_oof,Advertising restriction: Cpg Beverage Wine Oof,0.0,2,Boolean
r_cpg_beverage_wine_video,Advertising restriction: Cpg Beverage Wine Video,0.0,2,Boolean
r_finance_credit_cards,Advertising restriction: Finance Credit Cards,0.0,2,Boolean
r_cpg_cbd_hemp_ingestibles_non_thc,Advertising restriction: Cpg Cbd Hemp Ingestibles Non Thc,0.0,2,Boolean
